Model,Input Shape,Learning Rate,Debug,Loss,Optimizer,Num. Epochs,Examples/Epoch,Min Loss,Min Val Loss,Min Roll Loss,Min Roll Val Loss,Min BCE,Min Val BCE,Min Roll BCE,Min Roll Val BCE,Min BCE + Dice Loss,Min Val BCE + Dice Loss,Min Roll BCE + Dice Loss,Min Roll Val BCE + Dice Loss,Fit,Mean loss of batch,Schedule Drop,Schedule Epochs Drop,Train Duration,Shuffle Order,Normalise Input,Remove Outliers,Skip Empty,transform_angle,transform_position,Commit ID,Train Name,Model Params,Notes
tiny,"(64, 64, 64)",0.0005,,dice loss,adam_schedule,50,1,0.7031438946723938,0.7735990881919861,0.7334586977958679,0.7747413516044617,0.837531328201294,0.9035983681678772,1.4559770822525024,1.635046362876892,1.7060420513153076,1.7911860942840576,2.2879934310913086,2.414341688156128,True,False,0.9,3,3857.101221207995,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-11_17_57_tiny,"{'name': 'vnet_tiny', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_tiny.VNet_Tiny object at 0x7f6ec8406ac8>, '__class__': <class 'Segmentation.model.vnet_tiny.VNet_Tiny'>}","Training Tiny VNet (64, 64, 64), repeat: 1/5"
tiny,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7838543057441711,0.7951421141624451,0.786376953125,0.7983490228652954,0.7472332715988159,0.36119723320007324,0.7707153558731079,0.37175673246383667,1.5343674421310425,1.1610718965530396,1.557092308998108,1.1701065301895142,True,False,0.9,3,6198.986796731988,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-12_22_15_tiny,"{'name': 'vnet_tiny', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_tiny.VNet_Tiny object at 0x7f6e82d977f0>, '__class__': <class 'Segmentation.model.vnet_tiny.VNet_Tiny'>}","Training Tiny VNet (160, 160, 160), repeat: 1/5"
small,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7372793555259705,0.7560203671455383,0.7404624819755554,0.7605018615722656,0.600440263748169,1.2552800178527832,0.6218605041503906,1.3228390216827393,1.3402256965637207,2.052908420562744,1.3623230457305908,2.117154598236084,True,False,0.9,3,6927.404596972003,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-14_05_36_small,"{'name': 'vnet_small', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_small.VNet_Small object at 0x7f6df014e438>, '__class__': <class 'Segmentation.model.vnet_small.VNet_Small'>}","Training Small VNet (160, 160, 160), repeat: 1/5"
small_relative,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7461633682250977,0.7433815002441406,0.7531936764717102,0.7468773126602173,0.630100429058075,0.915256679058075,0.64593505859375,0.9607467651367188,1.3807505369186401,1.6615749597549438,1.3995574712753296,1.7076263427734375,True,False,0.9,3,6714.906287687001,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-16_01_05_small_relative,"{'name': 'vnet_small_relative', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'action': 'add', 'compressor_filters': 3, 'num_compressors': 3, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_small_relative.VNet_Small_Relative object at 0x7f6df021fc50>, '__class__': <class 'Segmentation.model.vnet_small_relative.VNet_Small_Relative'>}","Training Small Relative VNet (160, 160, 160), repeat: 1/5"
slice,"(160, 160, 5)",0.0005,,dice loss,adam_schedule,50,1,0.5391796827316284,0.8201628923416138,0.554623007774353,0.8243461847305298,0.1439264714717865,0.0778621956706047,0.15073518455028534,0.09243746101856232,0.7154437899589539,0.9444414377212524,0.7393684387207031,0.9635170102119446,True,False,0.9,3,4740.111384830001,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-17_53_01_slice,"{'name': 'vnet_small', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_slice.VNet_Slice object at 0x7f6df0267e80>, '__class__': <class 'Segmentation.model.vnet_slice.VNet_Slice'>}","Training Small Slice VNet (160, 160, 5), repeat: 1/5"
tiny,"(64, 64, 64)",0.0005,,dice loss,adam_schedule,50,1,0.5862513184547424,0.6364361047744751,0.6110919713973999,0.6397689580917358,0.19391006231307983,0.13733352720737457,0.2090221345424652,0.13841934502124786,0.8443704843521118,0.794850766658783,0.8580020666122437,0.7989494204521179,True,False,0.9,3,3321.9374820250086,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-19_12_02_tiny,"{'name': 'vnet_tiny', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_tiny.VNet_Tiny object at 0x7f6e80072a20>, '__class__': <class 'Segmentation.model.vnet_tiny.VNet_Tiny'>}","Training Tiny VNet (64, 64, 64), repeat: 2/5"
tiny,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7670782804489136,0.7576927542686462,0.7723220586776733,0.7685028314590454,0.7576053738594055,0.3859115242958069,0.8296699523925781,0.424386203289032,1.565751314163208,1.168820858001709,1.6019912958145142,1.1953598260879517,True,False,0.9,3,6192.509658347,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-20_07_26_tiny,"{'name': 'vnet_tiny', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_tiny.VNet_Tiny object at 0x7f6e70059978>, '__class__': <class 'Segmentation.model.vnet_tiny.VNet_Tiny'>}","Training Tiny VNet (160, 160, 160), repeat: 2/5"
small,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7397460341453552,0.7168326377868652,0.7461692690849304,0.7206703424453735,0.6984774470329285,0.42122963070869446,0.7043754458427429,0.47013169527053833,1.441408634185791,1.1433486938476562,1.4507919549942017,1.1908035278320312,True,False,0.9,3,6412.5890310090035,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-21_50_40_small,"{'name': 'vnet_small', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_small.VNet_Small object at 0x7f6df034dc50>, '__class__': <class 'Segmentation.model.vnet_small.VNet_Small'>}","Training Small VNet (160, 160, 160), repeat: 2/5"
small_relative,"(160, 160, 160)",0.0005,,dice loss,adam_schedule,50,1,0.7541172504425049,0.7387403249740601,0.7582038640975952,0.7406005859375,0.5838750004768372,0.4365007281303406,0.5907493829727173,0.4696861207485199,1.3423057794570923,1.1880556344985962,1.3496811389923096,1.2142136096954346,True,False,0.9,3,6475.610292134981,True,True,True,True,False,normal,cb39158,train_session_2020_03_24-23_37_34_small_relative,"{'name': 'vnet_small_relative', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'action': 'add', 'compressor_filters': 3, 'num_compressors': 3, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_small_relative.VNet_Small_Relative object at 0x7f6df050b518>, '__class__': <class 'Segmentation.model.vnet_small_relative.VNet_Small_Relative'>}","Training Small Relative VNet (160, 160, 160), repeat: 2/5"
slice,"(160, 160, 5)",0.0005,,dice loss,adam_schedule,50,1,0.5309508442878723,0.8075976371765137,0.5424755215644836,0.8128158450126648,0.1400803178548813,0.078237384557724,0.1464819461107254,0.08098354190587997,0.7020829916000366,0.9621681571006775,0.7205833196640015,0.9670828580856323,True,False,0.9,3,3589.326076014986,True,True,True,True,False,normal,cb39158,train_session_2020_03_25-01_25_31_slice,"{'name': 'vnet_small', 'use_stride_2': True, 'use_res_connect': True, 'noise': 0.0001, 'output_activation': None, 'merge_connections': True, 'data_format': 'channels_last', 'use_spatial_dropout': True, 'dropout_rate': 0.25, 'use_batchnorm': True, 'nonlinearity': 'relu', 'kernel_size': (3, 3, 3), 'num_conv_layers': 2, 'num_classes': 1, 'num_channels': 1, 'self': <Segmentation.model.vnet_slice.VNet_Slice object at 0x7f6df022ff98>, '__class__': <class 'Segmentation.model.vnet_slice.VNet_Slice'>}","Training Small Slice VNet (160, 160, 5), repeat: 2/5"
